title,b_title,desc,has multi,#epis,img_url,epi_urls
"【BBC】生命循环：奇异的腐烂科学,【BBC】After Life: The Strange Science of Decay,BBC;生命;科学;自然",【BBC】生命循环：奇异的腐烂科学_纪录片_bilibili_哔哩哔哩,人们对生命的定义大多始于出生，终于死亡。然而生命不是玦而是环，没有开头，没有结束，只有永恒的循环。人们惧怕死亡、厌恶腐烂，殊不知没有腐烂、没有消亡，便没有新生命的诞生。腐烂是自然界最重要的力量，形形色,False,1,http://i0.hdslb.com/bfs/archive/0b1caec15365b81dcce23e792489e7f7e8413661.jpg,['https://www.bilibili.com/bangumi/play/ep240500/']
"【纪录片】美国天才-Genius In America,人文,艺术家,火星,科技,工程师,基因,音乐家,高精尖,纪录,创新,爱达荷荒地,思密森尼杂志,微观纳米技术,纪录片,社会·美食·旅行,哔哩哔哩,Bilibili,B站,弹幕",【纪录片】美国天才-Genius In America_哔哩哔哩 (゜-゜)つロ 干杯~-bilibili,是谁决定了你的未来？本节目是关于斯密森尼杂志创新奖的得主们的故事。九位来自不同领域的获奖者，从微观纳米技术行业到爱达荷荒地的探索者，本节目从深度和广度来揭示一些高精尖的项目对我们未来人类的影响。工程师是如何指定火星漫游者的计划的？科学家是如何挑战被人们早已接受的基因理论？音乐家数年的练习如何达到始料未及的成就？艺术家是如何用自己的画笔展现万花筒似的大千世界？本片是关于一些推陈出新的专家们的故事。,False,1,http://i1.hdslb.com/bfs/archive/be2a44a72fb9543b5019bb96e9f60456cfa7f602.jpg,['https://www.bilibili.com/video/av27054812']
"巨石阵-遗迹复活,Stonegenge – Bringing Back the Dead,巨石阵;遗迹;英国",巨石阵-遗迹复活_纪录片_bilibili_哔哩哔哩,英国索尔兹伯里平原上高耸着的巍峨巨石，在空旷的原野上巧妙的围成一圈，这就是人类史上最神秘的史前遗迹之一，巨石阵。关于巨石阵已有不少研究，但它始终是人类几个世纪未能解开的谜题。本片追随英国研究学者迈克·,False,1,http://i0.hdslb.com/bfs/archive/74d36bfd3cfe5f50623d310155d14917a3d256ac.png,['https://www.bilibili.com/bangumi/play/ep240061/']
"阿塔卡玛之眼,Eyes of the Atacama",阿塔卡玛之眼_纪录片_bilibili_哔哩哔哩,在智利北部的阿塔卡玛沙漠，那里干旱荒芜，在这样一个极地，坐落着世界上最强大的射电天文观测设备-阿塔卡玛毫米/亚毫米波阵列望远镜。科学家借助这组望远镜获得有关星系和行星演变的数据，寻找新天体以及探寻着宇,False,1,http://i0.hdslb.com/bfs/archive/1b1a95d82521c551a8c096d25cdd962f6628cfa7.png,['https://www.bilibili.com/bangumi/play/ep239597/']
"协助犬的故事,Through a Dog's Eyes",协助犬的故事_纪录片_bilibili_哔哩哔哩,狗对人类的忠诚和热情让很多人为之动容，但是，你知道吗，这不仅是电影里的故事，在现实生活中，狗也真的可以成为人类的得力助手。在美国亚特兰大市的郊外，就有一座协助犬培训基地，创始人詹妮佛·阿诺德和自己的家,False,1,http://i0.hdslb.com/bfs/archive/e42579f5c8941ca10a76f97040cb05ceb43cb799.png,['https://www.bilibili.com/bangumi/play/ep239547/']
"古生物侦探,Paleo Sleuths,侦探",古生物侦探_纪录片_bilibili_哔哩哔哩,世界上许多关于哺乳动物时代的知识都埋葬于美国中心地带的广阔景观之下。从3400万年前到冰河世纪，开始一场史诗般的探险。进入史前世界，在哺乳动物统治至高时，开始一场化石狩猎之旅。加入古生物学家的研究，他,False,1,http://i0.hdslb.com/bfs/archive/e688e164e0f4fe56f3a35c4aa1f772aaf36d1294.png,['https://www.bilibili.com/bangumi/play/ep239484/']
"蓑鲉,Lionfish",蓑鲉_纪录片_bilibili_哔哩哔哩,它是迄今为止最奇特的鱼，体内长有18根毒棘，通常成群结队悄无声息地捕猎。而且天赋出众，这就是魔鬼蓑鲉。 野心勃勃，不断向未知的大西洋水域迈进。本片展示了魔鬼蓑鲉极为独特的行为和惊人的天赋，借此它占领了,False,1,http://i0.hdslb.com/bfs/archive/1ca84110fabf4ce22a562984d7f3ce765791ade4.png,['https://www.bilibili.com/bangumi/play/ep239441/']
"北极熊之夏,Polar Bear Summer,北极熊",北极熊之夏_纪录片_bilibili_哔哩哔哩,你有想过北极熊怎么过夏天吗？没有冰的时候它们住在哪？当没有海豹时它们吃什么？是历经磨难还是茁壮成长？本片将跟随北极熊，展示它们在哈得逊湾的夏天，和其他北极生物周旋，这一段披荆斩棘的生活。,False,1,http://i0.hdslb.com/bfs/archive/30eeb1be5ff4f5a2cd2573930d6c5fb1a0161022.png,['https://www.bilibili.com/bangumi/play/ep239440/']
"天才鸟类,BEAK AND BRAIN: GENIUS BIRDS FROM DOWN UNDER,喙与脑：使用工具的鸟类",天才鸟类_纪录片_bilibili_哔哩哔哩,"它们是动物王国的神童——新西兰啄羊鹦鹉，唯一生活在雪山地区的鹦鹉。他们喜欢动脑筋，解决难题和挑战游客：他们能拧开瓶盖，拆除雨刷，打开背包。仿佛深谙物理和力学。
在千里之外的新喀里多尼亚，也有一种天才鸟",False,1,http://i0.hdslb.com/bfs/archive/7e4ae86a54206fb5c7a33153601398ba406cd58f.png,['https://www.bilibili.com/bangumi/play/ep239396/']
"不可思议的飞行喷气背包,Incredible Flying Jet Packs",不可思议的飞行喷气背包_纪录片_bilibili_哔哩哔哩,很多人从小的梦想就是有一天可以在天空中自由翱翔。不仅仅是乘坐飞机，而是确确实实的飞在天空中。随着社会的发展以及科技的进步，这个梦想正在一步步的实现着。尼克、特洛伊以及他们的团队通过不断地探索、发现后，,False,1,http://i0.hdslb.com/bfs/archive/076b3cbc82338b8639113c5ce2e9c6fd843c5904.png,['https://www.bilibili.com/bangumi/play/ep234807/']
"无聊,Boredom",无聊_纪录片_bilibili_哔哩哔哩,本片讨论了一种历史悠久、几乎人人都体验过的情绪——无聊。无聊本质上是什么？受到激素控制吗？为什么无聊的时候感觉时间过得更慢了？世界上最无聊的地方在哪里？无聊在英国引发全国暴动是怎么回事？大众对于无聊的,False,1,http://i0.hdslb.com/bfs/archive/d4053f3d3c830453fb9a98db18053bd876a43429.png,['https://www.bilibili.com/bangumi/play/ep234808/']
"密码破译员,Codebreaker",密码破译员_纪录片_bilibili_哔哩哔哩,一部奥斯卡提名的《模仿游戏》让世人知道了二战期间，英国乡村布莱切利园，还有一群由字谜爱好者和大学教授组成的破译员。其中最为人熟知的当然就是艾伦·图灵。但历史上还有一个命运同样悲惨，成就同样杰出的戈登·,False,1,http://i0.hdslb.com/bfs/archive/d9fc7143dd3d681fbe1f6a41dc70d5cd60c4171e.png,['https://www.bilibili.com/bangumi/play/ep234930/']
"不可思议的镜头,The Impossible Lens",不可思议的镜头_纪录片_bilibili_哔哩哔哩,光学技术的快速发展彻底改变了现代生活的方方面面。我们现在有了完美的视力和全方位的安保系统，可以拍出精美绝伦的照片和夺人眼球的电影特效。但事实上，近十年来，光学的世界并没有再出现革命性的变化。直到最近，,False,1,http://i0.hdslb.com/bfs/archive/3eacbe9d0065c8b59e0524208315e013cbec9461.png,['https://www.bilibili.com/bangumi/play/ep233329/']
